episode,step,time,exo_action,exo_torque,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,ctrl
0,30,0.6,[1.],1.0,[2.2698],[0.0003],[16.4681  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0127 0.0062 0.084  0.6113 0.0073 0.4283],7.343741828947687,136.94208144162374,True,[0.0302],[3.7102e-03 5.6581e-04 6.3589e-02 6.0437e-01 7.2925e-03 4.2806e-01],[7.1836e-01 6.2566e-01 1.6673e-01 3.2016e-01 1.8263e-06 1.0751e-06],[0.2779 0.3738 0.7697 0.0755 0.9927 0.5719],0.5102496457246786,0.8535670507345021,2.5594211402378675,"[1.0000e+00 3.7102e-03 5.6581e-04 6.3589e-02 6.0437e-01 7.2925e-03
 4.2806e-01]"
0,31,0.62,[1.],1.0,[2.2698],[0.0002],[16.4681  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0118 0.0057 0.0816 0.6093 0.0073 0.4283],7.345333798812452,144.2874152404362,True,[0.0302],[3.6295e-03 5.6244e-04 6.3732e-02 6.0326e-01 7.2930e-03 4.2798e-01],[7.1852e-01 6.2577e-01 1.6658e-01 3.2118e-01 1.8263e-06 0.0000e+00],[0.2779 0.3737 0.7697 0.0756 0.9927 0.572 ],0.5102484079574461,0.8535670507345021,2.5594211402378675,"[1.0000e+00 3.6295e-03 5.6244e-04 6.3732e-02 6.0326e-01 7.2930e-03
 4.2798e-01]"
0,32,0.64,[1.],1.0,[2.2698],[0.0002],[16.4681  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.011  0.0053 0.0796 0.6076 0.0073 0.4282],7.346727585231035,151.63414282566723,True,[0.0302],[3.5660e-03 5.5992e-04 6.3853e-02 6.0229e-01 7.2936e-03 4.2790e-01],[7.1866e-01 6.2588e-01 1.6645e-01 3.2207e-01 1.8263e-06 1.0754e-06],[0.2778 0.3736 0.7697 0.0756 0.9927 0.5721],0.5102471403997236,0.8535670507345021,2.5594211402378675,"[1.0000e+00 3.5660e-03 5.5992e-04 6.3853e-02 6.0229e-01 7.2936e-03
 4.2790e-01]"
0,33,0.66,[1.],1.0,[2.2698],[0.0002],[16.4682  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0103 0.0049 0.0778 0.6061 0.0073 0.4281],7.347950543724154,158.98209336939138,True,[0.0302],[3.5156e-03 5.5803e-04 6.3956e-02 6.0143e-01 7.2941e-03 4.2783e-01],[7.1879e-01 6.2598e-01 1.6633e-01 3.2284e-01 1.8263e-06 0.0000e+00],[0.2777 0.3735 0.7697 0.0757 0.9927 0.5722],0.5102458468884054,0.8535670507345021,2.5594211402378675,"[1.0000e+00 3.5156e-03 5.5803e-04 6.3956e-02 6.0143e-01 7.2941e-03
 4.2783e-01]"
0,34,0.68,[1.],1.0,[2.2698],[0.0002],[16.4682  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0096 0.0045 0.0762 0.6048 0.0073 0.428 ],7.349026257507562,166.33111962689895,True,[0.0302],[3.4756e-03 5.5661e-04 6.4043e-02 6.0066e-01 7.2946e-03 4.2775e-01],[7.1890e-01 6.2609e-01 1.6624e-01 3.2352e-01 1.8263e-06 1.0757e-06],[0.2776 0.3734 0.7697 0.0758 0.9927 0.5723],0.5102445308429537,0.8535670507345021,2.5594211402378675,"[1.0000e+00 3.4756e-03 5.5661e-04 6.4043e-02 6.0066e-01 7.2946e-03
 4.2775e-01]"
0,35,0.7000000000000001,[1.],1.0,[2.2698],[0.0002],[16.4682  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.009  0.0042 0.0749 0.6036 0.0073 0.428 ],7.349974338173032,173.681093965072,True,[0.0302],[3.4435e-03 5.5555e-04 6.4118e-02 5.9999e-01 7.2952e-03 4.2767e-01],[7.1901e-01 6.2620e-01 1.6615e-01 3.2410e-01 1.8263e-06 0.0000e+00],[0.2775 0.3732 0.7697 0.0759 0.9927 0.5723],0.5102431951047433,0.8535670507345021,2.5594211402378675,"[1.0000e+00 3.4435e-03 5.5555e-04 6.4118e-02 5.9999e-01 7.2952e-03
 4.2767e-01]"
0,36,0.72,[1.],1.0,[2.2698],[0.0001],[16.4682  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0085 0.0039 0.0736 0.6026 0.0073 0.4279],7.350811863749666,181.03190582882166,True,[0.0302],[3.4177e-03 5.5476e-04 6.4180e-02 5.9939e-01 7.2957e-03 4.2759e-01],[7.1912e-01 6.2630e-01 1.6608e-01 3.2461e-01 1.8263e-06 1.0760e-06],[0.2775 0.3731 0.7697 0.076  0.9927 0.5724],0.5102418422582531,0.8535670507345021,2.5594211402378675,"[1.0000e+00 3.4177e-03 5.5476e-04 6.4180e-02 5.9939e-01 7.2957e-03
 4.2759e-01]"
0,37,0.74,[1.],1.0,[2.2698],[0.0001],[16.4683  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.008  0.0036 0.0726 0.6017 0.0073 0.4278],7.35155298338219,188.38345881220386,True,[0.0302],[3.3968e-03 5.5416e-04 6.4233e-02 5.9887e-01 7.2962e-03 4.2752e-01],[ 7.1922e-01  6.2641e-01  1.6601e-01  3.2505e-01  1.8263e-06 -2.1176e-22],[0.2774 0.373  0.7698 0.0761 0.9927 0.5725],0.5102404744427687,0.8535670507345021,2.5594211402378675,"[1.0000e+00 3.3968e-03 5.5416e-04 6.4233e-02 5.9887e-01 7.2962e-03
 4.2752e-01]"
0,38,0.76,[1.],1.0,[2.2698],[0.0001],[16.4683  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0076 0.0034 0.0717 0.6009 0.0073 0.4277],7.35221031686674,195.7356691290706,True,[0.0302],[3.3798e-03 5.5371e-04 6.4278e-02 5.9840e-01 7.2968e-03 4.2744e-01],[7.1931e-01 6.2651e-01 1.6596e-01 3.2543e-01 1.8263e-06 1.0763e-06],[0.2773 0.3729 0.7698 0.0762 0.9927 0.5726],0.5102390936560827,0.8535670507345021,2.5594211402378675,"[1.0000e+00 3.3798e-03 5.5371e-04 6.4278e-02 5.9840e-01 7.2968e-03
 4.2744e-01]"
0,39,0.78,[1.],1.0,[2.2698],[0.0001],[16.4683  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0072 0.0031 0.0708 0.6002 0.0073 0.4277],7.352794242411539,203.08846337148213,True,[0.0302],[3.3658e-03 5.5338e-04 6.4315e-02 5.9798e-01 7.2973e-03 4.2736e-01],[ 7.1940e-01  6.2662e-01  1.6591e-01  3.2576e-01  1.8263e-06 -2.1176e-22],[0.2772 0.3728 0.7698 0.0763 0.9927 0.5726],0.5102377015220021,0.8535670507345021,2.5594211402378675,"[1.0000e+00 3.3658e-03 5.5338e-04 6.4315e-02 5.9798e-01 7.2973e-03
 4.2736e-01]"
0,40,0.8,[1.],1.0,[2.2698],[9.2329e-05],[16.4683  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0068 0.0029 0.0701 0.5996 0.0073 0.4276],7.353314168356375,210.4417775398385,True,[0.0302],[3.3543e-03 5.5313e-04 6.4346e-02 5.9761e-01 7.2978e-03 4.2729e-01],[7.1949e-01 6.2672e-01 1.6587e-01 3.2604e-01 1.8263e-06 1.0766e-06],[0.2772 0.3727 0.7698 0.0763 0.9927 0.5727],0.5102362995881746,0.8535670507345021,2.5594211402378675,"[1.0000e+00 3.3543e-03 5.5313e-04 6.4346e-02 5.9761e-01 7.2978e-03
 4.2729e-01]"
0,41,0.8200000000000001,[1.],1.0,[2.2698],[8.3013e-05],[16.4683  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0065 0.0028 0.0695 0.599  0.0073 0.4275],7.353777784695847,217.79555532453435,True,[0.0302],[3.3447e-03 5.5294e-04 6.4372e-02 5.9728e-01 7.2984e-03 4.2721e-01],[7.1958e-01 6.2683e-01 1.6584e-01 3.2628e-01 1.8263e-06 0.0000e+00],[0.2771 0.3726 0.7698 0.0764 0.9927 0.5728],0.5102348891020289,0.8535670507345021,2.5594211402378675,"[1.0000e+00 3.3447e-03 5.5294e-04 6.4372e-02 5.9728e-01 7.2984e-03
 4.2721e-01]"
0,42,0.84,[1.],1.0,[2.2698],[7.4641e-05],[16.4683  0.2784  0.1835  0.173   0.2885  0.2201  0.0904],[0.0062 0.0026 0.0689 0.5985 0.0073 0.4274],7.354192244974609,225.14974756950895,True,[0.0302],[3.3367e-03 5.5280e-04 6.4393e-02 5.9699e-01 7.2989e-03 4.2713e-01],[7.1966e-01 6.2694e-01 1.6580e-01 3.2649e-01 1.8263e-06 1.0768e-06],[0.277  0.3725 0.7698 0.0765 0.9927 0.5729],0.5102334712824642,0.8535670507345021,2.5594211402378675,"[1.0000e+00 3.3367e-03 5.5280e-04 6.4393e-02 5.9699e-01 7.2989e-03
 4.2713e-01]"
