seed,condition,task,assisted,mf_start,summed_activation,pearson_r,goal,final_angle
26,B,31,1,0.6366109999438283,81.08722457764809,0.6222771642388085,1,2.130956806436071
26,B,32,1,0.6324795204989326,102.582802374187,0.5627555562943615,0,0.8360719497443742
26,B,33,1,0.6320001797135434,83.44091847270127,0.5932236460624699,1,2.1269147363746206
26,B,34,1,0.628938241157686,85.38524432852869,0.723657963021018,1,2.14237348805522
26,B,35,1,0.6211488511717637,105.72752099529248,0.5322117386353411,0,0.687259102083041
26,B,36,1,0.6208087111553806,82.31290617530237,0.6526331579246601,1,2.1347881827892925
26,B,37,1,0.6162787023344197,106.56151025605513,0.5668421314875087,0,0.8336956768379277
26,B,38,1,0.6160018796089147,91.31340269285485,0.6333124385224653,0,1.4511019574745796
26,B,39,1,0.6165691484689558,83.74595036080088,0.6191260232216971,1,2.1307265232464925
26,B,40,1,0.6124302605412025,86.36096795422371,0.6355129633135965,1,2.1328042466848283
26,B,41,1,0.6059767648503412,108.3571572915466,0.557891838744034,0,0.8355496619147705
26,B,42,1,0.6058314348457187,84.89983940228139,0.6215026365006556,1,2.1310437326026164
26,B,43,1,0.6018605350252925,108.69435879331716,0.5423203110397433,0,0.751543353225347
26,B,44,1,0.601765331569849,104.71309250208263,0.536964216117114,0,0.7172302353142866
26,B,45,1,0.6048350434962867,102.86495378178982,0.5538574903411259,0,0.8205128856432062
26,B,46,1,0.6078478477732946,84.21119564138976,0.7025100144814128,1,2.140390994262479
26,B,47,1,0.6022925360617951,106.37169361917509,0.5726096624613095,0,0.8328363386050631
26,B,48,1,0.6021444870730596,102.33732564700219,0.5488248395440989,0,0.7917595208263173
26,B,49,1,0.6051417151508511,85.43594775812205,0.698784311975459,1,2.1401146785896485
26,B,50,1,0.5995883724986373,105.94746141980055,0.5313548832409473,0,0.6820756967496645
26,B,51,1,0.5994658378268465,101.9214172285784,0.5384017320410094,0,0.7259001093532964
26,B,52,1,0.6024508927752338,100.12411094483288,0.5567210739474501,0,0.8316255472247308
26,B,53,1,0.6053806097653689,98.3595326349404,0.5544257186281101,0,0.8223313719623893
26,B,54,1,0.6082559994810285,96.62709059499527,0.5490732007060367,0,0.7921380401772687
26,B,55,1,0.6110780541258297,84.9956932671844,0.7312461039341793,1,2.143187485133819
26,B,56,1,0.6049212760949961,86.31513842148028,0.6332927934734215,1,2.1327029124899846
26,B,57,1,0.5986558856759943,86.30134011438857,0.6723523618626976,1,2.137250429707144
26,B,58,1,0.5922756373985605,106.08813905058467,0.5272043249206118,0,0.656727260450893
26,B,59,1,0.5922342913373767,102.08685798603186,0.5517041147908512,0,0.8090594534789854
26,B,60,1,0.5952257471999333,100.28653893522572,0.5621624592080858,0,0.8365641550413463
26,B,61,1,0.5981617718492168,98.51900283642978,0.5608481123002891,0,0.8368018710995898
26,B,62,1,0.6010433776486812,96.78365541621513,0.5366978882058593,0,0.7144729188649847
26,B,63,1,0.6038715584758941,95.07991237912829,0.5526572395036835,0,0.8128339964209177
26,B,64,1,0.6066472900732514,83.8086505531309,0.7013954184771302,1,2.1403969448793982
26,B,65,1,0.6009328231170429,85.95305302172757,0.6261752392001564,1,2.13182645195062
26,B,66,1,0.5947360794181611,101.35065110979238,0.5312007303403775,0,0.6806659366774365
26,B,67,1,0.5946311448993143,97.48842650686316,0.5428172691545728,0,0.7533091496454363
26,B,68,1,0.5974820078271508,95.77184688414246,0.5558136447767039,0,0.8278972121863696
26,B,69,1,0.6002800250800965,94.08653232156409,0.5530086289825821,0,0.8145633902017902
26,B,70,1,0.6030261618086755,82.51779969569733,0.6163086474620529,1,2.130647642968895
26,B,71,1,0.5990289458884756,85.76551291515467,0.6852518785627045,1,2.1387328467064046
26,B,72,1,0.5923984258915737,86.39305372340877,0.6528660571889837,1,2.135088357134091
26,B,73,1,0.5862600071279477,88.30349693756612,0.5944930154962754,1,2.1275248731442398
26,B,74,1,0.5809015440560096,104.53779271122333,0.5526040756392784,0,0.81433816713299
26,B,75,1,0.5809853840265973,91.4329096387318,0.6033902042891253,1,2.1192860745401
26,B,76,1,0.5804925107958497,103.35845458667447,0.5275717029085607,0,0.6586483663168415
26,B,77,1,0.5805707634374782,99.4280729510712,0.5529648214068366,0,0.8154534943469921
26,B,78,1,0.5834833830922059,87.53998839974679,0.7103796015781514,1,2.1413965701396442
26,B,79,1,0.5779250062431517,88.69565817862596,0.596312576338245,1,2.127960763779813
26,B,80,1,0.5727350742264241,103.24659619863938,0.6097358086440647,0,0.9456191774545897
26,B,81,1,0.5724688466297368,101.12867343503818,0.560001751631511,0,0.8370939787165415
26,B,82,1,0.5754348184845045,99.34580474623756,0.5316396582410851,0,0.6833660461075874
26,B,83,1,0.578345897123476,87.11804593002101,0.7079107491762046,1,2.141146075607986
26,B,84,1,0.5727559796761026,103.21893054461397,0.593906975201805,0,0.8712509958745218
26,B,85,1,0.5728104415631811,99.25282578321715,0.5419334167395813,0,0.7480126577377069
26,B,86,1,0.5757191791274314,88.45622959530263,0.7326294204416066,1,2.143424671513241
26,B,87,1,0.5701367319234935,88.33160594439084,0.618966886077174,1,2.1310812227240286
26,B,88,1,0.5645410809164738,105.22176617421316,0.5553165935450476,0,0.8275199066625033
26,B,89,1,0.5648167694609619,101.28747170528798,0.5296730186250937,0,0.6715507109954664
26,B,90,1,0.5677890182942963,99.50171031945423,0.5284100189743118,0,0.6635855344340215
26,B,91,1,0.5707062843827305,85.76934169228304,0.652445750452555,1,2.1352444083667232
26,B,92,1,0.566476871179184,88.71601511987359,0.6325518291859004,1,2.1328151783784763
26,B,93,1,0.5607329722118122,105.28044567773956,0.5389188380295021,0,0.7296933592022761
26,B,94,1,0.5610512721343106,88.35710759655315,0.592018391016242,1,2.127278031231893
26,B,95,1,0.5588096115590139,102.04066050494306,0.6169547651525895,0,0.9989804993799278
26,B,96,1,0.5584366322661726,87.20427618312057,0.6527918436497967,1,2.1353413620341635
26,B,97,1,0.5542782633978295,106.05983312704262,0.540891219253176,0,0.7423301181691669
26,B,98,1,0.5546642296485201,102.06215338689749,0.5660659942159607,0,0.834131387817954
26,B,99,1,0.5576619989555226,100.26228603073882,0.542336515167416,0,0.7508669519444092
26,B,100,1,0.5606043495499483,98.49519530451133,0.5265022015482317,0,0.6519148792482996
26,B,101,1,0.5634922935391299,86.25417908933703,0.6280537810860698,1,2.1324440528866924
