step,time,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,force_scale,activation_slowdown,ctrl
26,0.52,[1.4374],[0.2545],[10.0704  0.2552  0.1636  0.1535  0.311   0.245   0.1033],[0.001  0.0015 0.001  0.8651 0.9098 0.9241],-1.5617141952485905,-60.45995462657322,False,[0.2626],0.8242625962404506,2.1102874836746293,"[0.0000e+00 9.6228e-04 1.4913e-03 5.5278e-04 8.3832e-01 8.9628e-01
 9.2414e-01]"
27,0.54,[1.4387],[-0.0814],[10.08    0.2552  0.1637  0.1535  0.311   0.2449  0.1033],[0.001  0.0015 0.001  0.8629 0.905  0.9241],2.4429776667223537,-58.016976959850865,False,[0.2613],0.8242625962404506,2.1102874836746293,"[0.0000e+00 8.3718e-04 1.3864e-03 5.5278e-04 8.5884e-01 8.9673e-01
 9.2414e-01]"
28,0.56,[1.4335],[-0.4038],[10.0436  0.2551  0.1636  0.1534  0.3112  0.2451  0.1034],[0.001  0.0014 0.001  0.874  0.9057 0.9241],-1.5677031289477044,-59.58468008879857,False,[0.2665],0.8242625962404506,2.1102874836746293,"[0.0000e+00 6.3879e-04 1.1749e-03 5.5278e-04 8.8961e-01 9.0657e-01
 9.2414e-01]"
29,0.58,[1.422],[-0.7108],[9.9632 0.255  0.1634 0.1532 0.3116 0.2456 0.1036],[0.001  0.0014 0.001  0.8936 0.9126 0.9241],-1.5917434214301522,-61.17642351022872,False,[0.278],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 9.2307e-04 5.5278e-04 9.2141e-01 9.2283e-01
 9.2414e-01]"
30,0.6,[1.4046],[-1.0004],[9.8411 0.2547 0.1631 0.1529 0.3123 0.2463 0.1039],[0.001  0.0013 0.001  0.9061 0.9173 0.9241],-1.6173425119186986,-62.79376602214742,False,[0.2954],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 6.8461e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
31,0.62,[1.3816],[-1.2705],[9.6798 0.2543 0.1627 0.1526 0.3132 0.2472 0.1043],[0.001  0.0013 0.001  0.9134 0.9201 0.9241],-1.6451849568177788,-64.4389509789652,False,[0.3184],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
32,0.64,[1.3534],[-1.5189],[9.4824 0.2538 0.1623 0.1521 0.3143 0.2482 0.1048],[0.001  0.0013 0.001  0.9178 0.9217 0.9241],-1.67623297926015,-66.11518395822534,False,[0.3466],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
33,0.66,[1.3205],[-1.7437],[9.2519 0.2533 0.1617 0.1516 0.3155 0.2495 0.1053],[0.001  0.0012 0.001  0.9203 0.9227 0.9241],-1.7108318263028421,-67.82601578452818,False,[0.3795],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
34,0.68,[1.2834],[-1.9425],[8.992  0.2527 0.1611 0.151  0.3169 0.2509 0.1059],[0.001  0.0012 0.001  0.9219 0.9233 0.9241],-1.7489540594677815,-69.57496984399596,False,[0.4166],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
35,0.7000000000000001,[1.2426],[-2.1136],[8.7063 0.252  0.1605 0.1503 0.3184 0.2524 0.1066],[0.001  0.0012 0.001  0.9228 0.9236 0.9241],-1.7903396741148858,-71.36530951811085,False,[0.4574],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
36,0.72,[1.1988],[-2.2553],[8.3988 0.2513 0.1598 0.1496 0.32   0.254  0.1073],[0.001  0.0012 0.001  0.9233 0.9238 0.9241],-1.8345814393879598,-73.19989095749881,False,[0.5012],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
37,0.74,[1.1524],[-2.3669],[8.0739 0.2506 0.159  0.1488 0.3217 0.2556 0.108 ],[0.001  0.0011 0.001  0.9237 0.924  0.9241],-1.8811810554507364,-75.08107201294955,False,[0.5476],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
38,0.76,[1.1041],[-2.4476],[7.7356 0.2497 0.1582 0.148  0.3234 0.2573 0.1087],[0.001  0.0011 0.001  0.9239 0.924  0.9241],-1.9295876724264636,-77.01065968537601,False,[0.5959],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
39,0.78,[1.0546],[-2.4959],[7.3885 0.2489 0.1573 0.1472 0.325  0.259  0.1094],[0.001  0.0011 0.001  0.924  0.9241 0.9241],-1.979203470623337,-78.98986315599934,False,[0.6454],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
40,0.8,[1.0044],[-2.5098],[7.0373 0.248  0.1564 0.1463 0.3267 0.2607 0.1101],[0.001  0.0011 0.001  0.924  0.9241 0.9241],-2.0293771933754456,-81.0192403493748,False,[0.6956],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
41,0.8200000000000001,[0.9544],[-2.4894],[6.6868 0.2471 0.1555 0.1454 0.3283 0.2623 0.1107],[0.001  0.0011 0.001  0.9241 0.9241 0.9241],-2.0794320910521984,-83.098672440427,False,[0.7456],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
42,0.84,[0.9052],[-2.4357],[6.3418 0.2462 0.1546 0.1445 0.3298 0.2638 0.1113],[0.001  0.0011 0.001  0.9241 0.9241 0.9241],-2.1286988471230663,-85.22737128755006,False,[0.7948],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
43,0.86,[0.8573],[-2.3516],[6.0066 0.2453 0.1538 0.1436 0.3313 0.2652 0.1119],[0.001  0.0011 0.001  0.9241 0.9241 0.9241],-2.176545332980431,-87.40391662053048,False,[0.8427],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
44,0.88,[0.8115],[-2.2405],[5.6854 0.2445 0.1529 0.1427 0.3326 0.2666 0.1124],[0.001  0.0011 0.001  0.9241 0.9241 0.9241],-2.22240178003049,-89.62631840056098,False,[0.8885],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
45,0.9,[0.7681],[-2.1063],[5.3815 0.2436 0.1521 0.1419 0.3338 0.2678 0.1128],[0.001  0.0011 0.001  0.9241 0.9241 0.9241],-2.2657793260693913,-91.89209772663037,False,[0.9319],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
46,0.92,[0.7278],[-1.9378],[5.0989 0.2429 0.1513 0.1411 0.3349 0.2689 0.1133],[0.001  0.0011 0.001  0.9241 0.9241 0.9241],-2.306116190593105,-94.19821391722347,False,[0.9722],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
47,0.9400000000000001,[0.6912],[-1.7347],[4.8426 0.2422 0.1506 0.1404 0.3359 0.2699 0.1136],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.3426913354834276,-96.54090525270689,False,[1.0088],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
48,0.96,[0.659],[-1.5031],[4.6171 0.2415 0.15   0.1398 0.3367 0.2707 0.114 ],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.374879878170927,-98.91578513087782,False,[1.041],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
49,0.98,[0.6317],[-1.2498],[4.4258 0.241  0.1494 0.1393 0.3374 0.2714 0.1143],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.402186775766538,-101.31797190664436,False,[1.0683],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
50,1.0,[0.6096],[-0.9815],[4.2712 0.2406 0.149  0.1388 0.3379 0.2719 0.1145],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.424250956407816,-103.74222286305218,False,[1.0904],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
51,1.02,[0.593],[-0.7046],[4.155  0.2402 0.1487 0.1385 0.3383 0.2723 0.1147],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.440844203722331,-106.18306706677451,False,[1.107],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
52,1.04,[0.582],[-0.4256],[4.0778 0.24   0.1485 0.1383 0.3386 0.2725 0.1148],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.451866317600505,-108.63493338437502,False,[1.118],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
53,1.06,[0.5765],[-0.1502],[4.0394 0.2399 0.1483 0.1382 0.3387 0.2727 0.1148],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.45733788914316,-111.09227127351818,False,[1.1235],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
54,1.08,[0.5765],[0.1162],[4.039  0.2399 0.1483 0.1382 0.3387 0.2727 0.1148],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.457391694004446,-113.54966296752262,False,[1.1235],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
55,1.1,[0.5816],[0.3687],[4.075  0.24   0.1484 0.1383 0.3386 0.2725 0.1148],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.452263237604683,-116.0019262051273,False,[1.1184],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
56,1.12,[0.5916],[0.6028],[4.1449 0.2402 0.1486 0.1385 0.3384 0.2723 0.1147],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.4422806371575945,-118.4442068422849,False,[1.1084],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
57,1.1400000000000001,[0.606],[0.8147],[4.246  0.2405 0.1489 0.1388 0.338  0.272  0.1145],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.4278544078953397,-120.87206125018024,False,[1.094],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
58,1.16,[0.6244],[1.001],[4.3748 0.2409 0.1493 0.1391 0.3376 0.2715 0.1143],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.4094668795408327,-123.28152812972107,False,[1.0756],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
59,1.18,[0.6462],[1.159],[4.5276 0.2413 0.1497 0.1396 0.337  0.271  0.1141],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.387660880881934,-125.669189010603,False,[1.0538],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
60,1.2,[0.6709],[1.2865],[4.7002 0.2418 0.1502 0.14   0.3364 0.2704 0.1138],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.3630274991016265,-128.03221650970463,False,[1.0291],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
61,1.22,[0.6977],[1.3821],[4.8882 0.2423 0.1507 0.1406 0.3357 0.2697 0.1136],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.3361928319237517,-130.36840934162836,False,[1.0023],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
62,1.24,[0.7261],[1.4451],[5.0871 0.2428 0.1513 0.1411 0.335  0.2689 0.1133],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.307803819898229,-132.6762131615266,False,[0.9739],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
63,1.26,[0.7554],[1.4756],[5.2923 0.2434 0.1518 0.1417 0.3342 0.2681 0.113 ],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.2785134428000164,-134.9547266043266,False,[0.9446],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
64,1.28,[0.7849],[1.4742],[5.4993 0.244  0.1524 0.1422 0.3334 0.2673 0.1127],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.248965746863047,-137.20369235118963,False,[0.9151],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
65,1.3,[0.8142],[1.4499],[5.7042 0.2445 0.1529 0.1428 0.3325 0.2665 0.1124],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.2197221917616403,-139.42341454295126,False,[0.8858],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
66,1.32,[0.8427],[1.4092],[5.9044 0.2451 0.1535 0.1433 0.3317 0.2657 0.1121],[0.001  0.001  0.001  0.9241 0.9241 0.9241],-2.191145907583156,-141.6145604505344,False,[0.8573],0.8242625962404506,2.1102874836746293,"[0.0000e+00 5.5278e-04 5.5278e-04 5.5278e-04 9.2414e-01 9.2414e-01
 9.2414e-01]"
