step,time,exo_action,exo_torque,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,ctrl
27,0.54,[1.],1.0,[2.1327],[1.3199],[15.002   0.2677  0.1757  0.1655  0.2845  0.2182  0.0903],[0.3169 0.007  0.272  0.1428 0.1386 0.1687],7.456947369304565,22.498447466256664,True,[-0.1327],[0.3311 0.007  0.2806 0.0551 0.0418 0.0593],[0.6687 0.9928 0.7191 0.9412 0.9545 0.9368],[0.0002 0.0002 0.0003 0.0037 0.0037 0.0039],0.002007110754062349,0.8275665088902681,1.227341848229487,[1.     0.3311 0.007  0.2806 0.0551 0.0418 0.0593]
28,0.56,[1.],1.0,[2.1548],[0.9256],[15.1574  0.268   0.1761  0.1659  0.2837  0.2174  0.0899],[0.3525 0.0084 0.3022 0.1182 0.1118 0.1365],7.41970916741603,29.918156633672695,True,[-0.1548],[0.3598 0.0084 0.3074 0.0445 0.0303 0.0452],[0.6399 0.9914 0.6922 0.9517 0.966  0.9509],[0.0003 0.0002 0.0004 0.0037 0.0037 0.0039],0.0020301350484103237,0.8275665088902681,1.227341848229487,[1.     0.3598 0.0084 0.3074 0.0445 0.0303 0.0452]
29,0.58,[1.],1.0,[2.1689],[0.5292],[15.2568  0.2683  0.1763  0.1661  0.2832  0.2169  0.0896],[0.3581 0.0086 0.3176 0.0988 0.0906 0.1115],7.406494045869807,37.3246506795425,True,[-0.1689],[0.3593 0.0086 0.3205 0.0375 0.0223 0.0354],[0.6403 0.9912 0.6791 0.9588 0.974  0.9607],[0.0003 0.0002 0.0004 0.0037 0.0037 0.0039],0.002053777106983811,0.8275665088902681,1.227341848229487,[1.     0.3593 0.0086 0.3205 0.0375 0.0223 0.0354]
30,0.6,[0.],0.0,[2.1701],[-0.3236],[15.2648  0.2683  0.1763  0.1661  0.2831  0.2168  0.0896],[0.3536 0.0085 0.3154 0.0837 0.0738 0.092 ],7.417045848268402,44.7416965278109,True,[-0.1701],[0.3452 0.0083 0.3111 0.0335 0.0165 0.0287],[0.6544 0.9914 0.6884 0.9628 0.9798 0.9674],[0.0004 0.0002 0.0005 0.0037 0.0037 0.0039],0.0020770180687104084,0.8275665088902681,1.227341848229487,[0.     0.3452 0.0083 0.3111 0.0335 0.0165 0.0287]
31,0.62,[0.],0.0,[2.1547],[-1.1254],[15.1565  0.268   0.1761  0.1659  0.2837  0.2174  0.0899],[0.3199 0.0083 0.2938 0.0774 0.0603 0.0771],7.468651746214387,52.210348274025286,True,[-0.1547],[0.2551 0.0073 0.2496 0.0559 0.0125 0.0268],[0.7444 0.9925 0.7498 0.9403 0.9838 0.9693],[0.0005 0.0002 0.0005 0.0038 0.0037 0.0039],0.002099204902841078,0.8275665088902681,1.227341848229487,[0.     0.2551 0.0073 0.2496 0.0559 0.0125 0.0268]
32,0.64,[0.],0.0,[2.124],[-1.8589],[14.9406  0.2675  0.1756  0.1654  0.2848  0.2185  0.0904],[0.2698 0.0078 0.2564 0.1677 0.0496 0.073 ],7.527950427151838,59.73829870117712,True,[-0.124],[0.1654 0.0058 0.1751 0.1746 0.0099 0.0589],[0.8341 0.9939 0.8243 0.8216 0.9864 0.9372],[0.0005 0.0002 0.0006 0.0038 0.0037 0.0039],0.0021174287828822683,0.8275665088902681,1.227341848229487,[0.     0.1654 0.0058 0.1751 0.1746 0.0099 0.0589]
33,0.66,[1.],1.0,[2.0846],[-2.0464],[14.6639  0.2669  0.175   0.1648  0.2863  0.22    0.0912],[0.2211 0.0072 0.2167 0.4109 0.0411 0.1961],7.455258069896533,67.19355677107366,True,[-0.0846],[0.1089 0.0045 0.1236 0.4564 0.009  0.2066],[0.8906 0.9953 0.8758 0.5398 0.9873 0.7895],[0.0005 0.0002 0.0006 0.0038 0.0037 0.0039],0.0021351172516693184,0.8275665088902681,1.227341848229487,[1.     0.1089 0.0045 0.1236 0.4564 0.009  0.2066]
34,0.68,[1.],1.0,[2.0421],[-2.1801],[14.365   0.2662  0.1743  0.1641  0.2879  0.2216  0.092 ],[0.1802 0.0065 0.185  0.4205 0.0349 0.4533],7.398669412955394,74.59222618402906,True,[-0.0421],[0.0765 0.0035 0.1045 0.4231 0.0107 0.5078],[0.9229 0.9963 0.8949 0.573  0.9855 0.4882],[0.0006 0.0002 0.0006 0.0039 0.0037 0.0039],0.0021625069363843245,0.8275665088902681,1.227341848229487,[1.     0.0765 0.0035 0.1045 0.4231 0.0107 0.5078]
35,0.7000000000000001,[1.],1.0,[1.9976],[-2.2618],[14.0514  0.2655  0.1735  0.1633  0.2897  0.2234  0.0929],[0.1468 0.0058 0.157  0.8204 0.0329 0.7225],7.068690123872261,81.66091630790132,True,[0.0024],[0.0543 0.0028 0.0811 0.996  0.0252 0.8326],[0.9451 0.997  0.9182 0.     0.9711 0.1634],[0.0006 0.0002 0.0006 0.004  0.0037 0.004 ],0.0021966704174043693,0.8275665088902681,1.227341848229487,[1.     0.0543 0.0028 0.0811 0.996  0.0252 0.8326]
36,0.72,[1.],1.0,[1.9518],[-2.3023],[13.7297  0.2647  0.1728  0.1626  0.2915  0.2252  0.0938],[0.1201 0.0051 0.1548 0.7278 0.0348 0.81  ],7.029320939064977,88.69023724696629,True,[0.0482],[0.0407 0.0022 0.1486 0.6364 0.0349 0.858 ],[0.9587 0.9976 0.8507 0.3594 0.9614 0.1378],[0.0006 0.0002 0.0007 0.0041 0.0037 0.0042],0.0022569997926495753,0.8275665088902681,1.227341848229487,[1.     0.0407 0.0022 0.1486 0.6364 0.0349 0.858 ]
