step,time,exo_action,exo_torque,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,ctrl
21,0.42,[0.],0.0,[1.0122],[0.589],[7.1205 0.2491 0.1572 0.147  0.3278 0.2614 0.1104],[0.0036 0.0042 0.0039 0.9241 0.9241 0.9241],-2.321621101759198,-51.92451676264284,False,[0.9878],[7.4400e-04 7.7998e-04 7.6301e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9991 0.999  0.999  0.0723 0.0724 0.0724],[0.0001 0.0002 0.0002 0.0037 0.0036 0.0036],0.0019022284277191287,0.8275665088902681,1.227341848229487,"[0.0000e+00 7.4400e-04 7.7998e-04 7.6301e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
22,0.44,[0.],0.0,[1.0241],[0.5915],[7.2036 0.2493 0.1574 0.1472 0.3274 0.2611 0.1103],[0.0031 0.0036 0.0034 0.9243 0.9243 0.9243],-2.310033012598517,-54.234549775241355,False,[0.9759],[6.9595e-04 7.2291e-04 7.1019e-04 9.2440e-01 9.2440e-01 9.2440e-01],[0.9992 0.9991 0.9991 0.0718 0.0718 0.0718],[0.0001 0.0002 0.0002 0.0038 0.0038 0.0038],0.00198653627529306,0.8275665088902681,1.227341848229487,"[0.0000e+00 6.9595e-04 7.2291e-04 7.1019e-04 9.2440e-01 9.2440e-01
 9.2440e-01]"
23,0.46,[0.],0.0,[1.0358],[0.5845],[7.2864 0.2496 0.1576 0.1474 0.327  0.2607 0.1101],[0.0027 0.0031 0.0029 0.9241 0.9241 0.9241],-2.298024326646135,-56.53257410188749,False,[0.9642],[6.5996e-04 6.8015e-04 6.7063e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9992 0.9991 0.9991 0.072  0.0721 0.0721],[0.0001 0.0002 0.0002 0.004  0.0039 0.0039],0.0020703460826089347,0.8275665088902681,1.227341848229487,"[0.0000e+00 6.5996e-04 6.8015e-04 6.7063e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
24,0.48,[0.],0.0,[1.0474],[0.5686],[7.3675 0.2498 0.1578 0.1476 0.3266 0.2603 0.1099],[0.0024 0.0027 0.0026 0.9243 0.9243 0.9243],-2.286732470766405,-58.81930657265389,False,[0.9526],[6.3299e-04 6.4812e-04 6.4098e-04 9.2440e-01 9.2440e-01 9.2440e-01],[0.9993 0.9991 0.9991 0.0714 0.0715 0.0715],[0.0001 0.0002 0.0002 0.0042 0.0041 0.0041],0.0021546451927842354,0.8275665088902681,1.227341848229487,"[0.0000e+00 6.3299e-04 6.4812e-04 6.4098e-04 9.2440e-01 9.2440e-01
 9.2440e-01]"
25,0.5,[0.],0.0,[1.0585],[0.5444],[7.4457 0.25   0.158  0.1478 0.3262 0.2599 0.1098],[0.0022 0.0024 0.0023 0.9241 0.9241 0.9241],-2.2753746865081586,-61.09468125916205,False,[0.9415],[6.1278e-04 6.2412e-04 6.1877e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9993 0.9992 0.9992 0.0717 0.0717 0.0717],[0.0001 0.0002 0.0002 0.0043 0.0043 0.0043],0.002238401301756712,0.8275665088902681,1.227341848229487,"[0.0000e+00 6.1278e-04 6.2412e-04 6.1877e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
26,0.52,[0.],0.0,[1.069],[0.5129],[7.52   0.2501 0.1582 0.148  0.3259 0.2595 0.1096],[0.0019 0.0021 0.002  0.9243 0.9243 0.9243],-2.2650595356060395,-63.35974079476809,False,[0.931],[5.9764e-04 6.0614e-04 6.0213e-04 9.2440e-01 9.2440e-01 9.2440e-01],[0.9993 0.9992 0.9992 0.0711 0.0712 0.0712],[0.0001 0.0002 0.0002 0.0045 0.0044 0.0044],0.002322695363256369,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.9764e-04 6.0614e-04 6.0213e-04 9.2440e-01 9.2440e-01
 9.2440e-01]"
27,0.54,[0.],0.0,[1.0789],[0.4749],[7.5892 0.2503 0.1584 0.1482 0.3255 0.2592 0.1095],[0.0018 0.0019 0.0018 0.9241 0.9241 0.9241],-2.2549708596500873,-65.61471165441819,False,[0.9211],[5.8630e-04 5.9266e-04 5.8966e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9993 0.9992 0.9992 0.0713 0.0714 0.0714],[0.0001 0.0002 0.0002 0.0047 0.0046 0.0046],0.002406400550192482,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.8630e-04 5.9266e-04 5.8966e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
28,0.56,[0.],0.0,[1.0879],[0.4315],[7.6527 0.2505 0.1585 0.1483 0.3252 0.2589 0.1094],[0.0016 0.0017 0.0017 0.9243 0.9243 0.9243],-2.2461803772032045,-67.86089203162139,False,[0.9121],[5.7780e-04 5.8257e-04 5.8032e-04 9.2440e-01 9.2440e-01 9.2440e-01],[0.9993 0.9992 0.9992 0.0708 0.0708 0.0708],[0.0001 0.0002 0.0002 0.0048 0.0048 0.0048],0.0024906916328035623,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.7780e-04 5.8257e-04 5.8032e-04 9.2440e-01 9.2440e-01
 9.2440e-01]"
29,0.58,[0.],0.0,[1.096],[0.3836],[7.7098 0.2506 0.1587 0.1485 0.3249 0.2586 0.1093],[0.0015 0.0016 0.0016 0.9241 0.9241 0.9241],-2.237832808501974,-70.09872484012337,False,[0.904],[5.7143e-04 5.7500e-04 5.7331e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9993 0.9992 0.9992 0.071  0.0711 0.0711],[0.0001 0.0002 0.0002 0.005  0.0049 0.0049],0.0025743474617440005,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.7143e-04 5.7500e-04 5.7331e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
30,0.6,[0.],0.0,[1.1031],[0.3322],[7.7598 0.2507 0.1588 0.1486 0.3247 0.2584 0.1092],[0.0014 0.0015 0.0015 0.9243 0.9243 0.9243],-2.230959466154997,-72.32968430627837,False,[0.8969],[5.6665e-04 5.6933e-04 5.6807e-04 9.2440e-01 9.2440e-01 9.2440e-01],[0.9993 0.9992 0.9992 0.0704 0.0705 0.0705],[0.0001 0.0002 0.0002 0.0052 0.0051 0.0051],0.0026586367273262828,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.6665e-04 5.6933e-04 5.6807e-04 9.2440e-01 9.2440e-01
 9.2440e-01]"
31,0.62,[0.],0.0,[1.1092],[0.2785],[7.8024 0.2508 0.1589 0.1487 0.3245 0.2582 0.1091],[0.0013 0.0014 0.0014 0.9241 0.9241 0.9241],-2.2246643626792695,-74.55434866895763,False,[0.8908],[5.6307e-04 5.6508e-04 5.6413e-04 9.2399e-01 9.2399e-01 9.2399e-01],[0.9993 0.9992 0.9992 0.0707 0.0707 0.0707],[0.0001 0.0002 0.0002 0.0054 0.0053 0.0053],0.0027422440822107617,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.6307e-04 5.6508e-04 5.6413e-04 9.2399e-01 9.2399e-01
 9.2399e-01]"
32,0.64,[0.],0.0,[1.1142],[0.2233],[7.8373 0.2509 0.159  0.1488 0.3243 0.258  0.109 ],[0.0013 0.0013 0.0013 0.9243 0.9243 0.9243],-2.2199385760457018,-76.77428724500334,False,[0.8858],[5.6039e-04 5.6190e-04 5.6119e-04 9.2440e-01 9.2440e-01 9.2440e-01],[0.9993 0.9992 0.9992 0.0701 0.0702 0.0702],[0.0001 0.0002 0.0002 0.0055 0.0054 0.0054],0.0028265321831289457,0.8275665088902681,1.227341848229487,"[0.0000e+00 5.6039e-04 5.6190e-04 5.6119e-04 9.2440e-01 9.2440e-01
 9.2440e-01]"
