step,time,exo_action,exo_torque,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,MA,MR,MF,avg_fatigue,force_scale,activation_slowdown,ctrl
20,0.4,[1.],1.0,[1.5058],[3.9414],[10.6119  0.2578  0.1657  0.1555  0.3101  0.2437  0.1027],[0.012  0.0046 0.0051 0.2458 0.1004 0.2307],3.5125422697250896,-24.00711701882445,False,[0.1942],[0.0008 0.0006 0.0007 0.2456 0.1003 0.2305],[2.9699e-01 1.0405e-01 9.3441e-02 8.1471e-07 1.3001e-06 8.5458e-07],[0.7022 0.8953 0.9059 0.7544 0.8997 0.7695],0.8211627024548283,0.8290748117732433,2.013660406482563,"[1.0000e+00 8.2091e-04 6.4738e-04 6.6084e-04 2.4558e-01 1.0031e-01
 2.3052e-01]"
21,0.42,[0.9804],0.9803655,[1.583],[3.7856],[11.1553  0.2591  0.167   0.1568  0.307   0.2406  0.1012],[0.0107 0.0041 0.0048 0.2457 0.1004 0.2306],7.589747120500252,-16.417369898324196,True,[0.117],[0.0008 0.0006 0.0026 0.2455 0.1003 0.2305],[2.9724e-01 1.0432e-01 9.1532e-02 8.1807e-07 1.3002e-06 8.5563e-07],[0.702  0.8951 0.9059 0.7545 0.8997 0.7695],0.8211041646313865,0.8290748117732433,2.013660406482563,"[9.8037e-01 7.6931e-04 6.2357e-04 2.5713e-03 2.4554e-01 1.0030e-01
 2.3048e-01]"
22,0.44,[0.6538],0.65379006,[1.655],[3.4572],[11.6633  0.2603  0.1682  0.158   0.3041  0.2377  0.0998],[0.0103 0.0038 0.0208 0.2457 0.0998 0.2306],7.661548324581586,-8.75582157374261,True,[0.045],[0.0071 0.0006 0.023  0.2455 0.0965 0.2304],[2.9091e-01 1.0458e-01 7.1120e-02 8.1578e-07 3.9914e-03 8.5508e-07],[0.702  0.8948 0.9059 0.7545 0.8995 0.7696],0.8210364703012454,0.8290748117732433,2.013660406482563,"[6.5379e-01 7.0942e-03 6.2152e-04 2.2984e-02 2.4550e-01 9.6543e-02
 2.3044e-01]"
23,0.46,[0.359],0.3590424,[1.7187],[2.9488],[12.1117  0.2613  0.1692  0.159   0.3015  0.2351  0.0986],[0.052  0.0036 0.0826 0.229  0.0958 0.2165],7.6950430824723846,-1.0607784912702254,True,[-0.0187],[0.0587 0.0021 0.0941 0.1594 0.0727 0.1561],[0.2393 0.1031 0.     0.0862 0.0281 0.0745],[0.702  0.8948 0.9059 0.7543 0.8992 0.7694],0.8209401167997862,0.8290748117732433,2.013660406482563,[0.359  0.0587 0.0021 0.0941 0.1594 0.0727 0.1561]
24,0.48,[0.15],0.14996785,[1.7701],[2.2427],[12.4739  0.2622  0.1701  0.1599  0.2994  0.233   0.0976],[0.1994 0.005  0.092  0.2059 0.0894 0.1959],7.621463727038098,6.560685235767872,True,[-0.0701],[0.2405 0.0052 0.0941 0.106  0.0527 0.1045],[5.7491e-02 1.0003e-01 1.7031e-06 1.3981e-01 4.8336e-02 1.2629e-01],[0.702  0.8948 0.9059 0.7542 0.899  0.7692],0.8208419650656164,0.8290748117732433,2.013660406482563,[0.15   0.2405 0.0052 0.0941 0.106  0.0527 0.1045]
25,0.5,[0.094],0.09404498,[1.8062],[1.4418],[12.7283  0.2628  0.1707  0.1605  0.2979  0.2315  0.0969],[0.2692 0.0082 0.0937 0.1821 0.0819 0.1742],7.569438379330296,14.130123615098167,True,[-0.1062],[0.298  0.0087 0.0941 0.0737 0.038  0.0733],[0.0000e+00 9.6548e-02 1.2224e-06 1.7231e-01 6.3277e-02 1.5773e-01],[0.702  0.8948 0.9059 0.754  0.8987 0.769 ],0.820745661899631,0.8290748117732433,2.013660406482563,[0.094  0.298  0.0087 0.0941 0.0737 0.038  0.0733]
26,0.52,[0.1064],0.10644685,[1.8262],[0.641],[12.8693  0.2631  0.171   0.1608  0.2971  0.2307  0.0965],[0.2888 0.0095 0.094  0.1598 0.0741 0.1535],7.554406078246412,21.68452969334458,True,[-0.1262],[0.2979 0.0097 0.0941 0.0533 0.0277 0.0533],[1.3198e-06 9.5492e-02 1.3582e-06 1.9294e-01 7.3803e-02 1.7794e-01],[0.7021 0.8948 0.9059 0.7538 0.8985 0.7688],0.8206488615623498,0.8290748117732433,2.013660406482563,[0.1064 0.2979 0.0097 0.0941 0.0533 0.0277 0.0533]
27,0.54,[0.1806],0.18059775,[1.8308],[-0.0995],[12.902   0.2632  0.1711  0.1609  0.2969  0.2305  0.0964],[0.2949 0.0095 0.094  0.14   0.0666 0.1349],7.559485268464834,29.244014961809413,True,[-0.1308],[0.2979 0.0092 0.094  0.0405 0.0205 0.0404],[1.4039e-07 9.6206e-02 1.3200e-06 2.0598e-01 8.1276e-02 1.9104e-01],[0.7021 0.8945 0.906  0.7536 0.8983 0.7686],0.8205088049172375,0.8290748117732433,2.013660406482563,[0.1806 0.2979 0.0092 0.094  0.0405 0.0205 0.0404]
28,0.56,[0.3156],0.31560308,[1.8217],[-0.7384],[12.838   0.2631  0.1709  0.1607  0.2973  0.2308  0.0966],[0.2865 0.0093 0.094  0.123  0.0595 0.1187],7.585095833044937,36.82911079485435,True,[-0.1217],[0.2547 0.0082 0.094  0.0342 0.0154 0.0332],[4.3281e-02 9.7535e-02 1.3308e-06 2.1247e-01 8.6601e-02 1.9847e-01],[0.702  0.8943 0.906  0.7534 0.898  0.7684],0.8203349921753825,0.8290748117732433,2.013660406482563,[0.3156 0.2547 0.0082 0.094  0.0342 0.0154 0.0332]
29,0.58,[0.4922],0.49217921,[1.8013],[-1.2465],[12.6941  0.2627  0.1706  0.1604  0.2981  0.2317  0.097 ],[0.2646 0.009  0.094  0.1116 0.053  0.1055],7.628223407052256,44.457334201906605,True,[-0.1013],[0.1798 0.0068 0.094  0.05   0.012  0.0329],[1.1835e-01 9.9200e-02 1.3278e-06 1.9661e-01 9.0260e-02 1.9890e-01],[0.7019 0.894  0.906  0.7534 0.8978 0.7682],0.8201944910950948,0.8290748117732433,2.013660406482563,[0.4922 0.1798 0.0068 0.094  0.05   0.012  0.0329]
