step,time,jpos,jvel,mlen,act,reward,cumulative_reward,solved,pose_err,muscle_fatigue,muscle_activation,muscle_recovery,avg_fatigue,force_scale,activation_slowdown,ctrl
20,0.4,[-0.0001],[4.3754e-06],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0045 0.0105 0.008  0.2937 0.0962 0.0533],-1.961734728576656,-41.173050076979884,False,[1.7001],[0.9373 0.7554 0.8719 0.7065 0.9039 0.9467],[0.0006 0.0007 0.0007 0.2935 0.0961 0.0533],[6.2062e-02 2.4385e-01 1.2742e-01 6.4894e-07 1.3190e-06 1.5345e-06],0.8536204146669829,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0007 0.0007 0.2935 0.0961 0.0533]
21,0.42,[-0.0001],[3.7986e-06],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0041 0.0095 0.0073 0.2937 0.0962 0.0533],-1.961646027189925,-43.134696104169805,False,[1.7001],[0.937  0.7552 0.8716 0.7066 0.9039 0.9467],[0.0006 0.0007 0.0007 0.2934 0.0961 0.0533],[6.2346e-02 2.4411e-01 1.2770e-01 7.5684e-07 1.3191e-06 1.5345e-06],0.8535126035143716,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0007 0.0007 0.2934 0.0961 0.0533]
22,0.44,[-0.0001],[3.2839e-06],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0038 0.0086 0.0066 0.2936 0.0962 0.0533],-1.96156553421055,-45.096261638380355,False,[1.7001],[0.9368 0.755  0.8714 0.7066 0.9039 0.9467],[0.0006 0.0007 0.0006 0.2934 0.0961 0.0533],[6.2624e-02 2.4436e-01 1.2797e-01 6.6205e-07 1.3192e-06 1.5346e-06],0.8534048208637084,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0007 0.0006 0.2934 0.0961 0.0533]
23,0.46,[-0.0001],[2.8245e-06],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0035 0.0078 0.006  0.2936 0.0961 0.0533],-1.9614915900774585,-47.05775322845781,False,[1.7001],[0.9365 0.7548 0.8711 0.7067 0.904  0.9467],[0.0006 0.0006 0.0006 0.2933 0.096  0.0533],[6.2899e-02 2.4460e-01 1.2824e-01 7.4570e-07 1.3192e-06 1.5346e-06],0.8532970674991022,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2933 0.096  0.0533]
24,0.48,[-0.0001],[2.4146e-06],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0033 0.0071 0.0055 0.2935 0.0961 0.0533],-1.9614229233138123,-49.019176151771624,False,[1.7001],[0.9363 0.7546 0.8709 0.7067 0.904  0.9467],[0.0006 0.0006 0.0006 0.2933 0.096  0.0532],[6.3171e-02 2.4484e-01 1.2850e-01 6.7229e-07 1.3193e-06 1.5347e-06],0.8531893439955561,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2933 0.096  0.0532]
25,0.5,[-0.0001],[2.0488e-06],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.003  0.0064 0.005  0.2935 0.0961 0.0533],-1.9613584872070096,-50.98053463897863,False,[1.7001],[0.936  0.7543 0.8707 0.7068 0.904  0.9468],[0.0006 0.0006 0.0006 0.2932 0.096  0.0532],[6.3441e-02 2.4506e-01 1.2876e-01 7.3709e-07 1.3194e-06 1.5347e-06],0.8530816507903757,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2932 0.096  0.0532]
26,0.52,[-0.0001],[1.722e-06],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0028 0.0059 0.0046 0.2934 0.0961 0.0533],-1.96129747714506,-52.94183211612369,False,[1.7001],[0.9357 0.7541 0.8704 0.7068 0.904  0.9468],[0.0006 0.0006 0.0006 0.2932 0.096  0.0532],[6.3709e-02 2.4529e-01 1.2901e-01 6.8029e-07 1.3195e-06 1.5348e-06],0.8529739882011208,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2932 0.096  0.0532]
27,0.54,[-0.0001],[1.4302e-06],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0026 0.0054 0.0042 0.2934 0.0961 0.0533],-1.9612392155178784,-54.90307133164157,False,[1.7001],[0.9355 0.7539 0.8702 0.7069 0.904  0.9468],[0.0006 0.0006 0.0006 0.2931 0.096  0.0532],[6.3976e-02 2.4551e-01 1.2926e-01 7.3046e-07 1.3195e-06 1.5348e-06],0.852866356470282,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2931 0.096  0.0532]
28,0.56,[-0.0001],[1.1694e-06],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0025 0.0049 0.0039 0.2933 0.0961 0.0533],-1.9611831942535265,-56.8642545258951,False,[1.7001],[0.9352 0.7537 0.8699 0.7069 0.904  0.9468],[0.0006 0.0006 0.0006 0.2931 0.096  0.0532],[6.4243e-02 2.4573e-01 1.2951e-01 6.8654e-07 1.3196e-06 1.5349e-06],0.8527587557712429,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2931 0.096  0.0532]
29,0.58,[-0.0001],[9.364e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0023 0.0045 0.0036 0.2933 0.0961 0.0533],-1.9611289803870569,-58.82538350628216,False,[1.7001],[0.9349 0.7535 0.8697 0.707  0.904  0.9468],[0.0006 0.0006 0.0006 0.293  0.096  0.0532],[6.4508e-02 2.4594e-01 1.2976e-01 7.2537e-07 1.3197e-06 1.5349e-06],0.8526511862369336,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.293  0.096  0.0532]
30,0.6,[-0.0001],[7.2808e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0022 0.0041 0.0033 0.2932 0.096  0.0533],-1.9610762431315307,-60.78645974941369,False,[1.7001],[0.9347 0.7533 0.8694 0.707  0.9041 0.9468],[0.0006 0.0006 0.0006 0.293  0.0959 0.0532],[6.4773e-02 2.4616e-01 1.3001e-01 6.9144e-07 1.3197e-06 1.5349e-06],0.852543647960017,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.293  0.0959 0.0532]
31,0.62,[-0.0001],[5.4181e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.002  0.0038 0.0031 0.2932 0.096  0.0533],-1.9610246990472855,-62.74748444846097,False,[1.7001],[0.9344 0.7531 0.8692 0.7071 0.9041 0.9468],[0.0006 0.0006 0.0006 0.2929 0.0959 0.0532],[6.5038e-02 2.4638e-01 1.3026e-01 7.2148e-07 1.3198e-06 1.5350e-06],0.8524361410117417,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2929 0.0959 0.0532]
32,0.64,[-0.0001],[3.7522e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0019 0.0035 0.0029 0.2931 0.096  0.0532],-1.9609741414611692,-64.70845858992215,False,[1.7001],[0.9341 0.7529 0.8689 0.7071 0.9041 0.9468],[0.0006 0.0006 0.0006 0.2929 0.0959 0.0532],[6.5302e-02 2.4659e-01 1.3050e-01 6.9529e-07 1.3199e-06 1.5350e-06],0.8523286654396108,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2929 0.0959 0.0532]
33,0.66,[-0.0001],[2.262e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0018 0.0033 0.0027 0.293  0.096  0.0532],-1.9609243817437985,-66.66938297166594,False,[1.7001],[0.9339 0.7526 0.8687 0.7072 0.9041 0.9468],[0.0006 0.0006 0.0006 0.2928 0.0959 0.0532],[6.5566e-02 2.4680e-01 1.3075e-01 7.1851e-07 1.3200e-06 1.5351e-06],0.8522212212801037,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2928 0.0959 0.0532]
34,0.68,[-0.0001],[9.2886e-08],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0018 0.003  0.0025 0.293  0.096  0.0532],-1.9608752891969945,-68.63025826086293,False,[1.7001],[0.9336 0.7524 0.8685 0.7072 0.9041 0.9468],[0.0006 0.0006 0.0006 0.2928 0.0959 0.0532],[6.5830e-02 2.4702e-01 1.3099e-01 6.9832e-07 1.3200e-06 1.5351e-06],0.8521138085554901,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2928 0.0959 0.0532]
35,0.7000000000000001,[-0.0001],[-2.6382e-08],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0017 0.0028 0.0023 0.2929 0.096  0.0532],-1.9608267361232536,-70.59108499698618,False,[1.7001],[0.9334 0.7522 0.8682 0.7073 0.9041 0.9468],[0.0006 0.0006 0.0006 0.2927 0.0959 0.0532],[6.6093e-02 2.4723e-01 1.3124e-01 7.1626e-07 1.3201e-06 1.5352e-06],0.8520064272826207,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2927 0.0959 0.0532]
36,0.72,[-0.0001],[-1.3309e-07],[-0.0008  0.2104  0.1262  0.1169  0.3197  0.259   0.1117],[0.0016 0.0026 0.0022 0.2929 0.0959 0.0532],-1.960778631989873,-72.55186362897605,False,[1.7001],[0.9331 0.752  0.868  0.7073 0.9042 0.9468],[0.0006 0.0006 0.0006 0.2927 0.0958 0.0532],[6.6356e-02 2.4744e-01 1.3148e-01 7.0071e-07 1.3202e-06 1.5352e-06],0.8518990774696914,0.7579595287238772,2.3079500752261346,[0.     0.0006 0.0006 0.0006 0.2927 0.0958 0.0532]
